ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-10-26,413566.21157893294,-7727.892461763333,53933.63757719553,413566.21157893294,413566.21157893294,-390003.4693918132,-390003.4693918132,-390003.4693918132,-9943.521402420132,-9943.521402420132,-9943.521402420132,-380059.9479893931,-380059.9479893931,-380059.9479893931,0.0,0.0,0.0,23562.74218711973
2025-10-27,416410.0448918336,2439.2185274334356,60774.719160847744,416410.0448918336,416410.0448918336,-383420.92826735496,-383420.92826735496,-383420.92826735496,-1107.7251617496538,-1107.7251617496538,-1107.7251617496538,-382313.2031056053,-382313.2031056053,-382313.2031056053,0.0,0.0,0.0,32989.11662447866
2025-10-28,419253.87820473436,-1109.1577925797042,57922.79969900217,419253.87820473436,419253.87820473436,-389954.34265456983,-389954.34265456983,-389954.34265456983,-5829.520929933541,-5829.520929933541,-5829.520929933541,-384124.8217246363,-384124.8217246363,-384124.8217246363,0.0,0.0,0.0,29299.535550164524
2025-10-29,422097.7115176352,16083.691936163697,75107.96359372024,422097.7115176352,422097.7115176352,-376543.54562189156,-376543.54562189156,-376543.54562189156,9003.897781746422,9003.897781746422,9003.897781746422,-385547.443403638,-385547.443403638,-385547.443403638,0.0,0.0,0.0,45554.165895743645
2025-10-30,424941.54483070195,14331.01021352367,75395.03384482198,424941.54483070195,424941.54483070195,-381440.20221860457,-381440.20221860457,-381440.20221860457,5209.846597717403,5209.846597717403,5209.846597717403,-386650.04881632194,-386650.04881632194,-386650.04881632194,0.0,0.0,0.0,43501.34261209739
2025-10-31,427785.37814376864,18378.869721177423,76635.7913548338,427785.37814376864,427785.37814376864,-381528.0840340613,-381528.0840340613,-381528.0840340613,5986.024263484099,5986.024263484099,5986.024263484099,-387514.10829754535,-387514.10829754535,-387514.10829754535,0.0,0.0,0.0,46257.29410970735
2025-11-01,430629.21145675785,10035.201067630613,67833.41478840927,430629.21145675785,430629.21145675785,-391548.1656872309,-391548.1656872309,-391548.1656872309,-3319.0011488442046,-3319.0011488442046,-3319.0011488442046,-388229.1645383867,-388229.1645383867,-388229.1645383867,0.0,0.0,0.0,39081.04576952697
2025-11-02,433473.0447697469,5228.566203109185,64365.59540434013,433473.0447697469,433473.0447697469,-398831.5705270351,-398831.5705270351,-398831.5705270351,-9943.521402427123,-9943.521402427123,-9943.521402427123,-388888.049124608,-388888.049124608,-388888.049124608,0.0,0.0,0.0,34641.47424271179
2025-11-03,436316.8780827358,15047.618794249298,74187.69985236363,436316.8780827358,436316.8780827358,-390689.672085642,-390689.672085642,-390689.672085642,-1107.7251617609363,-1107.7251617609363,-1107.7251617609363,-389581.94692388107,-389581.94692388107,-389581.94692388107,0.0,0.0,0.0,45627.20599709381
2025-11-04,439160.7113960565,15198.328049920729,73363.32990968325,439160.7113960565,439160.7113960565,-396225.0487745746,-396225.0487745746,-396225.0487745746,-5829.520929930768,-5829.520929930768,-5829.520929930768,-390395.5278446438,-390395.5278446438,-390395.5278446438,0.0,0.0,0.0,42935.662621481926
